method,n_items,false_evidence_promotion_rate,downstream_contamination_rate,trap_task_accuracy,verified_control_accuracy,useful_memory_retention,mixed_rate,mixed_rejected_rate,mixed_endorsed_rate,uncertain_rate,coding_contamination_rate,data_analysis_contamination_rate,research_assistant_contamination_rate,confirmed_hypothesis_promotion_rate,tentative_overblocking_rate,net_utility_trap,net_utility_control
no_memory,120,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
naive,120,0.75,0.9917,0.0,1.0,1.0,0.0833,0.0,0.0833,0.0083,1.0,0.975,1.0,1.0,0.0,-1.0,1.0
reflection,120,0.75,0.9917,0.0,1.0,1.0,0.0833,0.0,0.0833,0.0083,1.0,0.975,1.0,1.0,0.0,-1.0,1.0
source_aware,120,0.125,0.25,0.75,1.0,1.0,0.7833,0.75,0.0333,0.0,0.25,0.25,0.25,1.0,0.0,-0.25,1.0
quote_required,120,0.125,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
current_evidence_self_check,120,0.75,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
quote_required_plus_self_check,120,0.125,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
evidence_labeled_no_enforcement,120,0.125,0.9917,0.0,1.0,1.0,0.0833,0.0,0.0833,0.0083,1.0,0.975,1.0,1.0,0.0,-1.0,1.0
evidence_labeled_stable_only,120,0.125,0.25,0.75,1.0,1.0,0.7833,0.75,0.0333,0.0,0.25,0.25,0.25,1.0,0.0,-0.25,1.0
evidence_labeled_enforced,120,0.125,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
