episode_id,family,case_type,set_type,gold_state,current_prediction,r2_prediction,d3_method,d3_prediction,current_success_strict,r2_success_strict,d3_success_strict,transition,failure_reason_current,failure_reason_r2,failure_reason_d3
controlled_research_ideation_027_contract_swap,research_ideation,contract_swap,controlled,suppress,fire:nut_safety,suppress:none,PACT_intent_plus_state_family_compiler,suppress:none,False,True,True,fixed,wrong_contract_false_fire,success,success
controlled_food_safety_003_direct_trigger,food_safety,direct_trigger,controlled,fire,fire:nut_safety,suppress:none,PACT_intent_plus_state_family_compiler,fire:nut_safety,True,False,True,unchanged_correct,success,wrong_contract_action,success
controlled_food_safety_006_indirect_trigger,food_safety,indirect_trigger,controlled,fire,suppress:none,fire:nut_safety,PACT_intent_plus_state_family_compiler,fire:nut_safety,False,True,True,fixed,wrong_contract_action,success,success
controlled_food_safety_026_conflict,food_safety,conflict,controlled,conflict,suppress:none,fire:nut_safety,PACT_intent_plus_state_family_compiler,fire:nut_safety,False,False,False,unchanged_wrong,conflict_failure,behavioral_conflict_without_detection,behavioral_conflict_without_detection
controlled_travel_planning_002_direct_trigger,travel_planning,direct_trigger,controlled,fire,fire:entry_constraints,suppress:none,PACT_intent_plus_state_family_compiler,fire:entry_constraints,True,False,True,unchanged_correct,success,wrong_contract_action,success
controlled_travel_planning_024_conflict,travel_planning,conflict,controlled,conflict,fire:entry_constraints,conflict:entry_constraints,PACT_intent_plus_state_family_compiler,conflict:entry_constraints,False,True,True,fixed,behavioral_conflict_without_detection,success,success
controlled_medical_caution_010_indirect_trigger,medical_caution,indirect_trigger,controlled,fire,fire:health_uncertainty,conflict:health_uncertainty,PACT_intent_plus_state_family_compiler,conflict:health_uncertainty,True,False,False,regressed,success,missed_or_incomplete_action,missed_or_incomplete_action
controlled_email_rewriting_024_conflict,email_rewriting,conflict,controlled,conflict,fire:plain_professional_email,suppress:none,PACT_intent_plus_state_family_compiler,suppress:none,False,False,False,unchanged_wrong,behavioral_conflict_without_detection,conflict_failure,conflict_failure
controlled_email_rewriting_027_contract_swap,email_rewriting,contract_swap,controlled,suppress,fire:research_prior_work,suppress:none,PACT_intent_plus_state_family_compiler,suppress:none,False,True,True,fixed,wrong_contract_false_fire,success,success
controlled_scheduling_001_direct_trigger,scheduling,direct_trigger,controlled,fire,fire:schedule_conflict_check,fire:schedule_conflict_check,PACT_intent_plus_state_family_compiler,fire:schedule_conflict_check,False,False,True,fixed,missed_or_incomplete_action,missed_or_incomplete_action,success
controlled_scheduling_003_direct_trigger,scheduling,direct_trigger,controlled,fire,fire:schedule_conflict_check,fire:schedule_conflict_check,PACT_intent_plus_state_family_compiler,fire:schedule_conflict_check,False,False,True,fixed,missed_or_incomplete_action,missed_or_incomplete_action,success
controlled_scheduling_004_direct_trigger,scheduling,direct_trigger,controlled,fire,fire:schedule_conflict_check,fire:schedule_conflict_check,PACT_intent_plus_state_family_compiler,fire:schedule_conflict_check,False,False,True,fixed,missed_or_incomplete_action,missed_or_incomplete_action,success
controlled_scheduling_005_indirect_trigger,scheduling,indirect_trigger,controlled,fire,fire:schedule_conflict_check,fire:schedule_conflict_check,PACT_intent_plus_state_family_compiler,fire:schedule_conflict_check,False,False,True,fixed,missed_or_incomplete_action,missed_or_incomplete_action,success
controlled_scheduling_006_indirect_trigger,scheduling,indirect_trigger,controlled,fire,fire:schedule_conflict_check,fire:schedule_conflict_check,PACT_intent_plus_state_family_compiler,fire:schedule_conflict_check,False,False,True,fixed,missed_or_incomplete_action,missed_or_incomplete_action,success
controlled_scheduling_007_indirect_trigger,scheduling,indirect_trigger,controlled,fire,fire:schedule_conflict_check,fire:schedule_conflict_check,PACT_intent_plus_state_family_compiler,fire:schedule_conflict_check,False,False,True,fixed,missed_or_incomplete_action,missed_or_incomplete_action,success
controlled_scheduling_008_indirect_trigger,scheduling,indirect_trigger,controlled,fire,fire:schedule_conflict_check,fire:schedule_conflict_check,PACT_intent_plus_state_family_compiler,fire:schedule_conflict_check,False,False,True,fixed,missed_or_incomplete_action,missed_or_incomplete_action,success
controlled_scheduling_009_indirect_trigger,scheduling,indirect_trigger,controlled,fire,fire:schedule_conflict_check,fire:schedule_conflict_check,PACT_intent_plus_state_family_compiler,fire:schedule_conflict_check,False,False,True,fixed,missed_or_incomplete_action,missed_or_incomplete_action,success
controlled_scheduling_010_indirect_trigger,scheduling,indirect_trigger,controlled,fire,fire:schedule_conflict_check,fire:schedule_conflict_check,PACT_intent_plus_state_family_compiler,fire:schedule_conflict_check,False,False,True,fixed,missed_or_incomplete_action,missed_or_incomplete_action,success
controlled_scheduling_024_conflict,scheduling,conflict,controlled,conflict,conflict:schedule_conflict_check,conflict:schedule_conflict_check,PACT_intent_plus_state_family_compiler,conflict:schedule_conflict_check,False,False,True,fixed,missed_or_incomplete_action,missed_or_incomplete_action,success
controlled_current_facts_010_indirect_trigger,current_facts,indirect_trigger,controlled,fire,fire:verify_current_facts,suppress:none,PACT_intent_plus_state_family_compiler,suppress:none,True,False,False,regressed,success,wrong_contract_action,wrong_contract_action
controlled_current_facts_026_conflict,current_facts,conflict,controlled,conflict,fire:verify_current_facts,conflict:verify_current_facts,PACT_intent_plus_state_family_compiler,conflict:verify_current_facts,False,True,True,fixed,behavioral_conflict_without_detection,success,success
