method,indirect_strict_success,wrong_contract_false_trigger_rate,conflict_detection_accuracy,conflict_safe_action_accuracy,target_completion,strict_e2e,behavioral_e2e,naturalistic_strict_success,contract_shuffle_drop,fixed_vs_current,regressed_vs_current,oracle_unfair
PACTFull_current,0.8712121212121212,0.23076923076923078,0.5,0.875,0.8681818181818182,0.8826923076923077,0.9134615384615384,0.75,0.3057692307692308,0,0,
PACT_R2_full,0.8484848484848485,0.09615384615384616,0.6,0.825,0.8363636363636363,0.8807692307692307,0.9019230769230769,0.65,0.3057692307692308,14,15,
PACT_intent_plus_state,0.8484848484848485,0.09615384615384616,0.6,0.85,0.8545454545454545,0.8903846153846153,0.9134615384615384,0.65,,14,10,
PACT_intent_plus_state_family_compiler,0.9015151515151515,0.09615384615384616,0.6,0.925,0.9136363636363637,0.9115384615384615,0.9384615384615385,0.675,,25,10,
LearnedPAM,0.0,0.0,0.275,0.225,0.045454545454545456,0.5634615384615385,0.5634615384615385,0.525,,16,182,
LearnedPAM_plus_checker,0.3181818181818182,0.0,0.275,0.4,0.3409090909090909,0.675,0.6884615384615385,0.65,,19,127,
LearnedPAM_plus_family_compiler,0.3560606060606061,0.0,0.275,0.475,0.39090909090909093,0.6923076923076923,0.7096153846153846,0.675,,28,127,
QueryOnlyClassifier,0.0,0.36538461538461536,0.5,0.0,0.0,0.5403846153846154,0.5403846153846154,0.55,,12,190,
QueryPlusFamilyClassifier,0.3484848484848485,0.0,0.6,0.8,0.4409090909090909,0.7403846153846154,0.7557692307692307,0.775,,30,104,
QueryPlusContractClassifier,0.0,0.0,0.275,0.0,0.0,0.5461538461538461,0.5461538461538461,0.5,,14,189,
OracleContractSelection,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,True
OracleState,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,True
OracleConflictState,0.8712121212121212,0.23076923076923078,1.0,1.0,0.8909090909090909,0.9230769230769231,0.9230769230769231,,,,,True
OracleTargetCompletion,0.9015151515151515,0.09615384615384616,0.6,0.9,0.8954545454545455,0.9019230769230769,0.926923076923077,,,,,True
OracleCompiler,0.9015151515151515,0.09615384615384616,0.6,0.9,0.8954545454545455,0.9019230769230769,0.926923076923077,,,,,True
