method,family,trigger_accuracy,fire_precision,fire_recall,fire_f1,indirect_trigger_recall,indirect_action_completion,false_trigger_rate,near_miss_false_trigger_rate,wrong_scope_false_trigger_rate,wrong_contract_false_trigger_rate,overall_false_trigger_rate,false_trigger_rate_excluding_contract_swap,false_trigger_rate_including_contract_swap,already_satisfied_accuracy,conflict_accuracy,conflict_detection_accuracy,conflict_safe_action_accuracy,conflict_as_fire_rate,conflict_as_suppress_rate,target_action_completion_rate,predicted_contract_action_completion_rate,irrelevant_action_completion_rate,wrong_contract_action_completion_rate,checker_repair_gain,contract_swap_sensitivity,paraphrase_consistency,per_family_variance,end_to_end_success,end_to_end_success_strict,end_to_end_success_behavioral,end_to_end_success_indirect,indirect_end_to_end_success_strict,end_to_end_success_near_miss,end_to_end_success_wrong_scope,naturalistic_success,scheduling_family_success,weighted_utility
NoMemory,admissions_cs,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5666666666666667,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.45454545454545453
NoMemory,benchmark_novelty,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5666666666666667,0.0,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.45454545454545453
NoMemory,code_security,0.5606060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05833333333333335,0.0,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.0,0.0,1.0,1.0,0.75,0.0,0.5606060606060606
NoMemory,current_facts,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5666666666666667,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.45454545454545453
NoMemory,data_analysis_hygiene,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5666666666666667,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.45454545454545453
NoMemory,email_rewriting,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5666666666666667,0.0,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.45454545454545453
NoMemory,food_safety,0.5606060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05833333333333335,0.0,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.0,0.0,1.0,1.0,0.75,0.0,0.49242424242424243
NoMemory,legal_policy_caution,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5666666666666667,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.2727272727272727
NoMemory,medical_caution,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5666666666666667,0.0,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.3181818181818182
NoMemory,research_ideation,0.5606060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05833333333333335,0.0,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.0,0.0,1.0,1.0,0.75,0.0,0.5606060606060606
