method,set_type,trigger_accuracy,fire_precision,fire_recall,fire_f1,indirect_trigger_recall,indirect_action_completion,false_trigger_rate,near_miss_false_trigger_rate,wrong_scope_false_trigger_rate,wrong_contract_false_trigger_rate,overall_false_trigger_rate,false_trigger_rate_excluding_contract_swap,false_trigger_rate_including_contract_swap,already_satisfied_accuracy,conflict_accuracy,conflict_detection_accuracy,conflict_safe_action_accuracy,conflict_as_fire_rate,conflict_as_suppress_rate,target_action_completion_rate,predicted_contract_action_completion_rate,irrelevant_action_completion_rate,wrong_contract_action_completion_rate,checker_repair_gain,contract_swap_sensitivity,paraphrase_consistency,per_family_variance,end_to_end_success,end_to_end_success_strict,end_to_end_success_behavioral,end_to_end_success_indirect,end_to_end_success_near_miss,end_to_end_success_wrong_scope,weighted_utility
NoMemory,controlled,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5666666666666667,0.0,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.0,1.0,1.0,0.42916666666666664
NoMemory,naturalistic,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1800205749557739,0.6,0.6,0.6,0.0,1.0,1.0,0.4625
NoMemory,paraphrase,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.05412658773652741,0.6,0.6,0.6,0.0,1.0,1.0,0.6
KeywordTrigger,controlled,0.475,0.375,0.025,0.04687500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.8888888888888888,0.04487179487179487,1.0,0.0,0.0,-1.0,1.0,-0.5722222222222222,0.022906142364542553,0.5722222222222222,0.5722222222222222,0.5833333333333334,0.0,1.0,1.0,0.4361111111111111
KeywordTrigger,naturalistic,0.525,1.0,0.08333333333333333,0.15384615384615385,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0625,1.0,0.0,0.0,-1.0,1.0,0.0,0.16433554953054488,0.625,0.625,0.625,0.08333333333333333,1.0,1.0,0.4875
KeywordTrigger,paraphrase,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.05412658773652741,0.6,0.6,0.6,0.0,1.0,1.0,0.6
TfidfRawMemory,controlled,0.46944444444444444,0.2413793103448276,0.058333333333333334,0.09395973154362418,0.041666666666666664,0.041666666666666664,0.05,0.06944444444444445,0.020833333333333332,0.0,0.03571428571428571,0.05,0.03571428571428571,0.0,0.0,0.0,0.19444444444444445,0.19444444444444445,0.8055555555555556,0.08974358974358974,1.0,0.017804154302670624,0.0,-1.0,1.0,-0.5444444444444444,0.045812284729085107,0.5444444444444444,0.5444444444444444,0.5638888888888889,0.041666666666666664,0.9305555555555556,0.9791666666666666,0.4027777777777778
TfidfRawMemory,naturalistic,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.75,0.0625,1.0,0.0,0.0,0.0,1.0,0.0,0.1800205749557739,0.6,0.6,0.625,0.0,1.0,1.0,0.4625
TfidfRawMemory,paraphrase,0.5916666666666667,0.4,0.041666666666666664,0.07547169811320754,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0625,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,1.0,0.025423728813559324,0.0,-1.0,0.0,0.5916666666666667,0.05122998847110938,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.041666666666666664,0.9375,1.0,0.5666666666666667
FullHistory,controlled,0.6222222222222222,1.0,0.008333333333333333,0.01652892561983471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5277777777777778,0.5277777777777778,0.3888888888888889,0.0,0.4722222222222222,0.09615384615384616,1.0,0.012903225806451613,0.0,-1.0,1.0,-0.6083333333333333,0.03367876570272816,0.6083333333333333,0.6083333333333333,0.6083333333333333,0.0,1.0,1.0,0.4444444444444444
