episode_id,duplicate_type,selection_changed
controlled_research_ideation_001_direct_trigger,duplicate target contract,False
controlled_research_ideation_001_direct_trigger,duplicate broad distractor,False
controlled_research_ideation_002_direct_trigger,duplicate target contract,False
controlled_research_ideation_002_direct_trigger,duplicate broad distractor,False
controlled_research_ideation_003_direct_trigger,duplicate target contract,False
controlled_research_ideation_003_direct_trigger,duplicate broad distractor,False
controlled_research_ideation_004_direct_trigger,duplicate target contract,False
controlled_research_ideation_004_direct_trigger,duplicate broad distractor,False
controlled_research_ideation_005_indirect_trigger,duplicate target contract,False
controlled_research_ideation_005_indirect_trigger,duplicate broad distractor,False
controlled_research_ideation_006_indirect_trigger,duplicate target contract,False
controlled_research_ideation_006_indirect_trigger,duplicate broad distractor,False
controlled_research_ideation_007_indirect_trigger,duplicate target contract,False
controlled_research_ideation_007_indirect_trigger,duplicate broad distractor,False
controlled_research_ideation_008_indirect_trigger,duplicate target contract,False
controlled_research_ideation_008_indirect_trigger,duplicate broad distractor,False
controlled_research_ideation_009_indirect_trigger,duplicate target contract,False
controlled_research_ideation_009_indirect_trigger,duplicate broad distractor,False
controlled_research_ideation_010_indirect_trigger,duplicate target contract,False
controlled_research_ideation_010_indirect_trigger,duplicate broad distractor,False
controlled_research_ideation_011_near_miss,duplicate target contract,False
controlled_research_ideation_011_near_miss,duplicate broad distractor,False
controlled_research_ideation_012_near_miss,duplicate target contract,False
controlled_research_ideation_012_near_miss,duplicate broad distractor,False
controlled_research_ideation_013_near_miss,duplicate target contract,False
controlled_research_ideation_013_near_miss,duplicate broad distractor,False
controlled_research_ideation_014_near_miss,duplicate target contract,False
controlled_research_ideation_014_near_miss,duplicate broad distractor,False
controlled_research_ideation_015_near_miss,duplicate target contract,False
controlled_research_ideation_015_near_miss,duplicate broad distractor,False
controlled_research_ideation_016_near_miss,duplicate target contract,False
controlled_research_ideation_016_near_miss,duplicate broad distractor,False
controlled_research_ideation_017_wrong_scope,duplicate target contract,False
controlled_research_ideation_017_wrong_scope,duplicate broad distractor,False
controlled_research_ideation_018_wrong_scope,duplicate target contract,False
controlled_research_ideation_018_wrong_scope,duplicate broad distractor,False
controlled_research_ideation_019_wrong_scope,duplicate target contract,False
controlled_research_ideation_019_wrong_scope,duplicate broad distractor,False
