episode_id,family,case_type,failure_type,predicted_state,predicted_contract_id
naturalistic_medical_caution_005_indirect_trigger,medical_caution,indirect_trigger,wrong contract selected,fire,schedule_conflict_check
naturalistic_email_rewriting_006_indirect_trigger,email_rewriting,indirect_trigger,wrong contract selected,fire,schedule_conflict_check
naturalistic_benchmark_novelty_007_indirect_trigger,benchmark_novelty,indirect_trigger,wrong contract selected,fire,legal_policy_uncertainty
naturalistic_current_facts_009_indirect_trigger,current_facts,indirect_trigger,wrong contract selected,fire,legal_policy_uncertainty
naturalistic_admissions_cs_010_indirect_trigger,admissions_cs,indirect_trigger,NULL selected incorrectly,suppress,none
naturalistic_data_analysis_hygiene_012_indirect_trigger,data_analysis_hygiene,indirect_trigger,wrong contract selected,fire,flask_auth_security
naturalistic_travel_planning_028_wrong_scope,travel_planning,wrong_scope,right contract selected but wrong state,fire,entry_constraints
naturalistic_admissions_cs_034_conflict,admissions_cs,conflict,wrong contract selected,conflict,flask_auth_security
naturalistic_legal_policy_caution_035_conflict,legal_policy_caution,conflict,right contract selected but wrong state,fire,legal_policy_uncertainty
naturalistic_data_analysis_hygiene_036_conflict,data_analysis_hygiene,conflict,wrong contract selected,fire,entry_constraints
