method,strict_e2e,wrong_contract_false_trigger_rate,indirect_strict_success,target_completion,conflict_safe_action,NULL_accuracy,correct_contract_selection_rate
PACTFull_current,0.8826923076923077,0.23076923076923078,0.8712121212121212,0.8681818181818182,0.875,0.8840579710144928,0.9384615384615385
PACT_R2_full,0.8807692307692307,0.09615384615384616,0.8484848484848485,0.8363636363636363,0.825,0.8848920863309353,0.9230769230769231
PACT_intent_plus_state_family_compiler,0.9115384615384615,0.09615384615384616,0.9015151515151515,0.9136363636363637,0.925,0.9051094890510949,0.9346153846153846
PACT_S_null_only,0.7038461538461539,0.0,0.3484848484848485,0.38181818181818183,0.475,0.6395939086294417,0.7
PACT_S_null_margin,0.6942307692307692,0.0,0.29545454545454547,0.32727272727272727,0.45,0.6323529411764706,0.6884615384615385
PACT_S_second_margin,0.7038461538461539,0.0,0.3484848484848485,0.38181818181818183,0.475,0.6395939086294417,0.7
PACT_S_margins,0.6942307692307692,0.0,0.29545454545454547,0.32727272727272727,0.45,0.6323529411764706,0.6884615384615385
PACT_S_broadness_penalty,0.6942307692307692,0.0,0.29545454545454547,0.32727272727272727,0.45,0.6323529411764706,0.6884615384615385
PACT_S_zscore_calibration,0.5480769230769231,0.0,0.3787878787878788,0.4590909090909091,0.75,0.5015197568389058,0.5807692307692308
PACT_S_pairwise_ranker,0.6942307692307692,0.0,0.29545454545454547,0.32727272727272727,0.45,0.6323529411764706,0.6884615384615385
PACT_S_full,0.6942307692307692,0.0,0.29545454545454547,0.32727272727272727,0.45,0.6323529411764706,0.6884615384615385
PACT_S_no_NULL,0.3403846153846154,1.0,0.6060606060606061,0.75,0.925,0.0,0.38461538461538464
PACT_S_family_only,0.5961538461538461,0.0,0.0,0.05,0.25,0.5360824742268041,0.5557692307692308
PACT_S_contract_text_masked,0.5961538461538461,0.0,0.0,0.05,0.25,0.5360824742268041,0.5557692307692308
PACT_S_family_masked,0.6634615384615384,0.1346153846153846,0.20454545454545456,0.35,0.775,0.6218905472636815,0.6903846153846154
PACT_S_multi_select_top2,0.6942307692307692,0.0,0.29545454545454547,0.32727272727272727,0.45,0.6323529411764706,0.6884615384615385
PACT_S_margin_abstain,0.6942307692307692,0.0,0.29545454545454547,0.32727272727272727,0.45,0.6323529411764706,0.6884615384615385
QueryOnlyClassifier,0.5403846153846154,0.36538461538461536,0.0,0.0,0.0,0.617948717948718,0.5
QueryPlusFamilyClassifier,0.7403846153846154,0.0,0.3484848484848485,0.4409090909090909,0.8,0.6710182767624021,0.7576923076923077
QueryPlusContractClassifier,0.5461538461538461,0.0,0.0,0.0,0.0,0.7072463768115942,0.7
ContractShufflePACT,0.5769230769230769,0.0,0.0,0.0,0.0,0.5652173913043478,0.5
