method,strict_e2e,behavioral_e2e,indirect_strict_success,wrong_contract_false_trigger_rate,naturalistic_strict_success,naturalistic_wrong_contract_ft,multi_contract_pool12_strict_e2e,multi_contract_pool12_wrong_contract_ft,correct_contract_selection_rate,NULL_accuracy,target_completion,conflict_detection,conflict_safe_action,weighted_utility,fixed_vs_D3_best,regressed_vs_D3_best,oracle_unfair
PACTFull_current,0.8826923076923077,0.9134615384615384,0.8712121212121212,0.23076923076923078,0.75,1.0,0.0,0.0,0.9384615384615385,0.8840579710144928,0.8681818181818182,0.5,0.875,0.7182692307692308,10,25,
PACT_R2_full,0.8807692307692307,0.9019230769230769,0.8484848484848485,0.09615384615384616,0.65,0.25,0.5480769230769231,0.9807692307692307,0.9230769230769231,0.8848920863309353,0.8363636363636363,0.6,0.825,0.7144230769230769,0,16,
PACT_intent_plus_state_family_compiler,0.9115384615384615,0.9384615384615385,0.9015151515151515,0.09615384615384616,0.675,0.25,0.5711538461538461,0.9807692307692307,0.9346153846153846,0.9051094890510949,0.9136363636363637,0.6,0.925,0.7471153846153846,0,0,
PACT_S_null_only,0.7038461538461539,0.7211538461538461,0.3484848484848485,0.0,0.65,0.0,0.6673076923076923,0.3076923076923077,0.7,0.6395939086294417,0.38181818181818183,0.275,0.475,0.5692307692307692,8,116,
PACT_S_null_margin,0.6942307692307692,0.7096153846153846,0.29545454545454547,0.0,0.75,0.0,0.6711538461538461,0.19230769230769232,0.6884615384615385,0.6323529411764706,0.32727272727272727,0.275,0.45,0.5711538461538461,11,124,
PACT_S_second_margin,0.7038461538461539,0.7211538461538461,0.3484848484848485,0.0,0.65,0.0,0.6673076923076923,0.3076923076923077,0.7,0.6395939086294417,0.38181818181818183,0.275,0.475,0.5692307692307692,8,116,
PACT_S_margins,0.6942307692307692,0.7096153846153846,0.29545454545454547,0.0,0.75,0.0,0.6711538461538461,0.19230769230769232,0.6884615384615385,0.6323529411764706,0.32727272727272727,0.275,0.45,0.5711538461538461,11,124,
PACT_S_broadness_penalty,0.6942307692307692,0.7096153846153846,0.29545454545454547,0.0,0.75,0.0,0.6711538461538461,0.19230769230769232,0.6884615384615385,0.6323529411764706,0.32727272727272727,0.275,0.45,0.5711538461538461,11,124,
PACT_S_zscore_calibration,0.5480769230769231,0.5865384615384616,0.3787878787878788,0.0,0.5,0.0,0.22692307692307692,1.0,0.5807692307692308,0.5015197568389058,0.4590909090909091,0.275,0.75,0.24615384615384617,8,197,
PACT_S_pairwise_ranker,0.6942307692307692,0.7096153846153846,0.29545454545454547,0.0,0.75,0.0,0.6711538461538461,0.19230769230769232,0.6884615384615385,0.6323529411764706,0.32727272727272727,0.275,0.45,0.5711538461538461,11,124,
PACT_S_full,0.6942307692307692,0.7096153846153846,0.29545454545454547,0.0,0.75,0.0,0.6711538461538461,0.19230769230769232,0.6884615384615385,0.6323529411764706,0.32727272727272727,0.275,0.45,0.5711538461538461,11,124,
PACT_S_no_NULL,0.3403846153846154,0.3923076923076923,0.6060606060606061,1.0,0.3,1.0,0.2230769230769231,1.0,0.38461538461538464,0.0,0.75,0.275,0.925,-0.27884615384615385,7,304,
PACT_S_family_only,0.5961538461538461,0.5961538461538461,0.0,0.0,0.625,0.0,0.5961538461538461,0.0,0.5557692307692308,0.5360824742268041,0.05,0.275,0.25,0.47692307692307695,12,176,
PACT_S_contract_text_masked,0.5961538461538461,0.5961538461538461,0.0,0.0,0.625,0.0,0.5961538461538461,0.0,0.5557692307692308,0.5360824742268041,0.05,0.275,0.25,0.47692307692307695,12,176,
PACT_S_family_masked,0.6634615384615384,0.7057692307692308,0.20454545454545456,0.1346153846153846,0.6,1.0,0.65,0.19230769230769232,0.6903846153846154,0.6218905472636815,0.35,0.225,0.775,0.5269230769230769,6,135,
PACT_S_multi_select_top2,0.6942307692307692,0.7096153846153846,0.29545454545454547,0.0,0.75,0.0,0.6711538461538461,0.19230769230769232,0.6884615384615385,0.6323529411764706,0.32727272727272727,0.275,0.45,0.5711538461538461,11,124,
PACT_S_margin_abstain,0.6942307692307692,0.7096153846153846,0.29545454545454547,0.0,0.75,0.0,0.6711538461538461,0.19230769230769232,0.6884615384615385,0.6323529411764706,0.32727272727272727,0.275,0.45,0.5711538461538461,11,124,
QueryOnlyClassifier,0.5403846153846154,0.5403846153846154,0.0,0.36538461538461536,0.55,0.5,0.0,0.0,0.5,0.617948717948718,0.0,0.5,0.0,0.40673076923076923,9,202,
QueryPlusFamilyClassifier,0.7403846153846154,0.7557692307692307,0.3484848484848485,0.0,0.775,0.0,0.0,0.0,0.7576923076923077,0.6710182767624021,0.4409090909090909,0.6,0.8,0.5913461538461539,12,101,
QueryPlusContractClassifier,0.5461538461538461,0.5461538461538461,0.0,0.0,0.5,0.0,0.0,0.0,0.7,0.7072463768115942,0.0,0.275,0.0,0.4153846153846154,7,197,
ContractShufflePACT,0.5769230769230769,0.5769230769230769,0.0,0.0,0.6,0.0,0.0,0.0,0.5,0.5652173913043478,0.0,0.5,0.0,0.4798076923076923,12,186,
OracleContractSelection,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8461538461538461,46,0,True
