episode_id,family,case_type,set_type,top5_contracts,top5_scores,NULL_score,selected_contract,selected_state,top_minus_null,top_minus_second,gold_rank,gold_minus_top,null_margin_pass,contract_margin_pass,success
controlled_research_ideation_001_direct_trigger,research_ideation,direct_trigger,controlled,research_prior_work|health_uncertainty|flask_auth_security|entry_constraints,0.3390|-0.1820|-0.2120|-0.2120,0.08,research_prior_work,fire,0.2590181988445465,0.5210181988445466,1,0.0,True,True,True
controlled_research_ideation_002_direct_trigger,research_ideation,direct_trigger,controlled,research_prior_work|health_uncertainty|plain_professional_email|entry_constraints,-0.0166|-0.1820|-0.2120|-0.2120,0.0,NULL,suppress,-0.016562780390252337,0.16543721960974767,1,0.0,False,True,False
controlled_research_ideation_003_direct_trigger,research_ideation,direct_trigger,controlled,research_prior_work|health_uncertainty|plain_professional_email|benchmark_contribution_role,0.3502|-0.1820|-0.2120|-0.2120,0.08,research_prior_work,fire,0.2701568165118682,0.5321568165118682,1,0.0,True,True,True
controlled_research_ideation_004_direct_trigger,research_ideation,direct_trigger,controlled,research_prior_work|schedule_conflict_check|plain_professional_email|benchmark_contribution_role,0.0421|-0.2120|-0.2120|-0.2120,0.0,NULL,suppress,0.04210718939576035,0.2541071893957603,1,0.0,False,True,False
controlled_research_ideation_005_indirect_trigger,research_ideation,indirect_trigger,controlled,research_prior_work|verify_current_facts|schedule_conflict_check|benchmark_contribution_role,0.2682|-0.2120|-0.2120|-0.2120,0.0,research_prior_work,fire,0.2682054730981653,0.48020547309816525,1,0.0,True,True,True
controlled_research_ideation_006_indirect_trigger,research_ideation,indirect_trigger,controlled,research_prior_work|verify_current_facts|cs_major_selectivity|schedule_conflict_check,-0.0605|-0.1414|-0.1557|-0.2120,0.2,NULL,suppress,-0.2605320989284215,0.08088211680040622,1,0.0,False,True,False
controlled_research_ideation_007_indirect_trigger,research_ideation,indirect_trigger,controlled,research_prior_work|legal_policy_uncertainty|verify_current_facts|cs_major_selectivity,0.2228|-0.1820|-0.2120|-0.2120,0.0,research_prior_work,fire,0.2227997672248287,0.4047997672248287,1,0.0,True,True,True
controlled_research_ideation_008_indirect_trigger,research_ideation,indirect_trigger,controlled,legal_policy_uncertainty|research_prior_work|cs_major_selectivity|analysis_hygiene,0.1480|-0.0492|-0.2120|-0.2120,0.0,NULL,suppress,0.14800000000000002,0.19716835549705952,2,-0.19716835549705952,False,True,False
controlled_research_ideation_009_indirect_trigger,research_ideation,indirect_trigger,controlled,legal_policy_uncertainty|research_prior_work|nut_safety|analysis_hygiene,0.1480|-0.0291|-0.1820|-0.2120,0.08,NULL,suppress,0.06800000000000002,0.17713621077080657,2,-0.17713621077080657,False,True,False
controlled_research_ideation_010_indirect_trigger,research_ideation,indirect_trigger,controlled,research_prior_work|nut_safety|flask_auth_security|analysis_hygiene,0.0203|-0.1820|-0.2120|-0.2120,0.0,NULL,suppress,0.02030288278702585,0.20230288278702585,1,0.0,False,True,False
controlled_research_ideation_011_near_miss,research_ideation,near_miss,controlled,research_prior_work|nut_safety|flask_auth_security|entry_constraints,0.3065|-0.1820|-0.2120|-0.2120,0.38,NULL,suppress,-0.07351423925553552,0.4884857607444645,0,0.07351423925553552,False,True,True
controlled_research_ideation_012_near_miss,research_ideation,near_miss,controlled,research_prior_work|health_uncertainty|flask_auth_security|entry_constraints,0.2284|-0.1820|-0.2120|-0.2120,0.3,NULL,suppress,-0.07155522613029294,0.410444773869707,0,0.07155522613029294,False,True,True
controlled_research_ideation_013_near_miss,research_ideation,near_miss,controlled,research_prior_work|health_uncertainty|plain_professional_email|entry_constraints,-0.0559|-0.1086|-0.1243|-0.2120,0.38,NULL,suppress,-0.4358528335077774,0.05273054712031198,0,0.4358528335077774,False,True,True
controlled_research_ideation_014_near_miss,research_ideation,near_miss,controlled,research_prior_work|health_uncertainty|plain_professional_email|benchmark_contribution_role,0.2359|-0.1820|-0.2120|-0.2120,0.38,NULL,suppress,-0.14412037221091645,0.41787962778908355,0,0.14412037221091645,False,True,True
