family,PACTFull_current_strict_success,PACT_R2_full_strict_success,delta,wrong_contract_false_triggers_before,wrong_contract_false_triggers_after,conflict_detection_before,conflict_detection_after,indirect_success_before,indirect_success_after
admissions_cs,0.9696969696969697,0.9696969696969697,0.0,0.0,0.0,0.75,1.0,1.0,1.0
benchmark_novelty,0.9696969696969697,0.9393939393939394,-0.030303030303030276,0.25,0.25,1.0,1.0,1.0,1.0
code_security,0.9545454545454546,0.9696969696969697,0.015151515151515138,0.2,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0
current_facts,0.8181818181818182,0.8181818181818182,0.0,0.25,0.25,0.25,0.75,1.0,0.7142857142857143
data_analysis_hygiene,0.9090909090909091,0.8484848484848485,-0.06060606060606055,0.25,0.25,0.5,0.5,1.0,0.8571428571428571
email_rewriting,0.8181818181818182,0.8181818181818182,0.0,0.25,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143
food_safety,0.8333333333333334,0.8787878787878788,0.045454545454545414,0.2,0.0,0.0,0.0,0.6842105263157895,0.8421052631578947
legal_policy_caution,0.8484848484848485,0.8181818181818182,-0.030303030303030276,0.5,0.0,0.25,0.25,1.0,1.0
medical_caution,0.9696969696969697,0.9090909090909091,-0.06060606060606066,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.7142857142857143
research_ideation,0.9696969696969697,1.0,0.030303030303030276,0.4,0.0,1.0,1.0,1.0,1.0
scheduling,0.5454545454545454,0.5151515151515151,-0.030303030303030276,0.25,0.25,0.3333333333333333,0.3333333333333333,0.0,0.0
travel_planning,0.8793103448275862,0.8793103448275862,0.0,0.2,0.2,0.6666666666666666,1.0,0.8421052631578947,0.8421052631578947
