method,wrong_contract_false_trigger_rate,indirect_end_to_end_success_strict,indirect_action_completion,false_trigger_rate_including_contract_swap,false_trigger_rate_excluding_contract_swap,conflict_detection_accuracy,conflict_safe_action_accuracy,target_action_completion_rate,irrelevant_action_completion_rate,end_to_end_success_strict,end_to_end_success_behavioral,near_miss_false_trigger_rate,wrong_scope_false_trigger_rate,paraphrase_consistency,naturalistic_success,scheduling_family_success,contract_shuffle_drop
NoMemory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.5769230769230769,0.0,0.0,0.033333333333333326,0.6,0.5757575757575758,
KeywordTrigger,0.0,0.007575757575757576,0.007575757575757576,0.0,0.0,0.0,0.1,0.03636363636363636,0.0,0.5826923076923077,0.5903846153846154,0.0,0.0,0.02777777777777779,0.625,0.5757575757575758,
TfidfRawMemory,0.0,0.03787878787878788,0.03787878787878788,0.03461538461538462,0.04326923076923077,0.0,0.2,0.07727272727272727,0.018218623481781375,0.5596153846153846,0.575,0.06153846153846154,0.01282051282051282,0.047222222222222276,0.6,0.5757575757575758,
FullHistory,0.0,0.0,0.0,0.0,0.0,0.5,0.375,0.07272727272727272,0.008547008547008548,0.6076923076923076,0.6076923076923076,0.0,0.0,-0.008333333333333304,0.625,0.5757575757575758,
RawMemorySelfCheck,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.04090909090909091,0.0,0.5846153846153846,0.5942307692307692,0.0,0.0,0.022222222222222254,0.6,0.5757575757575758,
ContractPromptHeuristic,0.0,0.0,0.0,0.0,0.0,0.5,0.375,0.06818181818181818,0.008528784648187633,0.6057692307692307,0.6057692307692307,0.0,0.0,-0.005555555555555536,0.625,0.5757575757575758,
ContractClassifierOnly,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5769230769230769,0.5769230769230769,0.0,0.0,0.033333333333333326,0.6,0.5757575757575758,
ContractCompilerOnly,0.0,0.007575757575757576,0.007575757575757576,0.0038461538461538464,0.004807692307692308,0.0,0.125,0.045454545454545456,0.00196078431372549,0.5846153846153846,0.5942307692307692,0.0,0.01282051282051282,0.022222222222222254,0.6,0.5757575757575758,
ContractCheckerOnly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.5769230769230769,0.0,0.0,0.033333333333333326,0.6,0.5757575757575758,
PACTFull,0.23076923076923078,0.8712121212121212,0.8712121212121212,0.06153846153846154,0.019230769230769232,0.5,0.875,0.8681818181818182,0.057971014492753624,0.8826923076923077,0.9134615384615384,0.015384615384615385,0.02564102564102564,0.07499999999999996,0.75,0.5454545454545454,
PACTFull_current,0.23076923076923078,0.8712121212121212,0.8712121212121212,0.06153846153846154,0.019230769230769232,0.5,0.875,0.8681818181818182,0.057971014492753624,0.8826923076923077,0.9134615384615384,0.015384615384615385,0.02564102564102564,0.07499999999999996,0.75,0.5454545454545454,
PACT_specificity_gate,0.19230769230769232,0.8712121212121212,0.8712121212121212,0.05384615384615385,0.019230769230769232,0.0,0.75,0.8318181818181818,0.04878048780487805,0.8442307692307692,0.9019230769230769,0.015384615384615385,0.02564102564102564,0.12777777777777777,0.725,0.5454545454545454,
PACT_conditional_bonus,0.23076923076923078,0.8712121212121212,0.8712121212121212,0.06153846153846154,0.019230769230769232,0.0,0.8,0.8545454545454545,0.05693950177935943,0.8461538461538461,0.9076923076923077,0.015384615384615385,0.02564102564102564,0.125,0.725,0.5454545454545454,
PACT_intent_family_gate,0.09615384615384616,0.8560606060606061,0.8560606060606061,0.046153846153846156,0.03365384615384615,0.0,0.8,0.8454545454545455,0.05985915492957746,0.85,0.9115384615384615,0.03076923076923077,0.038461538461538464,0.13055555555555554,0.625,0.5151515151515151,
PACT_state_action_split,0.23076923076923078,0.8636363636363636,0.8712121212121212,0.06153846153846154,0.019230769230769232,0.6,0.875,0.8681818181818182,0.05755395683453238,0.8884615384615384,0.9115384615384615,0.015384615384615385,0.02564102564102564,0.06944444444444442,0.775,0.5454545454545454,
PACT_R2_full,0.09615384615384616,0.8484848484848485,0.8560606060606061,0.05384615384615385,0.04326923076923077,0.6,0.825,0.8363636363636363,0.06643356643356643,0.8807692307692307,0.9019230769230769,0.046153846153846156,0.038461538461538464,0.0888888888888889,0.65,0.5151515151515151,0.3057692307692308
PACT_intent_plus_state,0.09615384615384616,0.8484848484848485,0.8560606060606061,0.046153846153846156,0.03365384615384615,0.6,0.85,0.8545454545454545,0.06028368794326241,0.8903846153846153,0.9134615384615384,0.03076923076923077,0.038461538461538464,0.07499999999999996,0.65,0.5151515151515151,
