family,n,retrieval_score,guard_score,action_score,intent_family_score,bonus,base_score,specificity,final_score,success_rate
admissions_cs,99,0.09255394271670722,0.05384018607088078,0.07202701771950903,0.020202020202020204,0.1,0.1320967715749368,0.0958532805534378,0.3432830115444932,0.9696969696969697
benchmark_novelty,99,0.09076610173819798,0.037315876517913064,0.06929988615609894,0.10101010101010101,0.09555555555555556,0.12301742388438792,0.09142781505118447,0.3320566530204893,0.9494949494949495
code_security,198,0.0957678371102796,0.03995973037834101,0.030221106529953003,0.30303030303030304,0.11,0.11930700589410427,0.09602550953293196,0.2532642141829137,0.9646464646464646
current_facts,99,0.054301588000666375,0.012277769186430008,0.03172027826823115,0.1414141414141414,0.07777777777777778,0.06714276524229616,0.054626302470746534,0.2967518137515415,0.8181818181818182
data_analysis_hygiene,99,0.08100781006187326,0.02927557655711289,0.05303330916111523,0.1111111111111111,0.09555555555555556,0.10597636797499722,0.08100781006187326,0.2989469291639864,0.8787878787878788
email_rewriting,99,0.08960599297239798,0.03874512582824524,0.04037846010968571,0.10101010101010101,0.10222222222222221,0.1151986583311175,0.08992542718049516,0.2835361159445875,0.8181818181818182
food_safety,198,0.056856579905680125,0.016319127504055238,0.04385346673913007,0.12121212121212122,0.11888888888888889,0.07434759759208473,0.06348253457403019,0.16175955609176207,0.8686868686868687
legal_policy_caution,99,0.08452923584901256,0.046898250724137426,0.04955490108241429,0.8484848484848485,0.13555555555555557,0.11567726140927112,0.08858553818100426,0.37272083448526705,0.8484848484848485
medical_caution,99,0.04521805346550741,0.009350654484296573,0.03294463729069525,0.32323232323232326,0.08,0.05719447458189985,0.051208287867080676,0.3078313634329484,0.9292929292929293
research_ideation,198,0.130151232192799,0.03234943384611358,0.10073568801371856,0.3181818181818182,0.10555555555555556,0.1682749277346741,0.1314144904721267,0.2580668704757162,0.98989898989899
scheduling,99,0.057005870320053456,0.020971628156432588,0.02914243434858171,0.5959595959595959,0.09777777777777777,0.07268013016977191,0.05734814942494276,0.2934820051152946,0.5252525252525253
travel_planning,174,0.04656785827161596,0.024305485894249072,0.03371564612090267,0.5,0.0960919540229885,0.06471896415954126,0.04656785827161596,0.27315813263470895,0.8850574712643678
